Z1,C1,Z2,C2,Z3,C3,Z4,C4,Z5,C5,Z6,C6,Z7,C7,Z8,C8
20,500,20,500,20,500,20,500,20,500,20,500,20,500,20,500
21,500,21,500,21,500,21,500,21,500,21,500,21,500,21,500
22,500,22,500,22,500,22,500,22,500,22,500,22,500,22,500
23,500,23,500,23,500,23,500,23,500,23,500,23,500,23,500
24,500,24,500,24,500,24,500,24,500,24,500,24,500,24,500
25,500,25,500,25,500,25,500,25,500,25,500,25,500,25,500
26,500,26,500,26,500,26,500,26,500,26,500,26,500,26,500
27,500,27,500,27,500,27,500,27,500,27,500,27,500,27,500
28,500,28,500,28,500,28,500,28,500,28,500,28,500,28,500
29,500,29,500,29,500,29,500,29,500,29,500,29,500,29,500
30,500,30,500,30,500,30,500,30,500,30,500,30,500,30,500
31,500,31,500,31,500,31,500,31,500,31,500,31,500,31,500
32,500,32,500,32,500,32,500,32,500,32,500,32,500,32,500
33,500,33,500,33,500,33,500,33,500,33,500,33,500,33,500
34,500,34,500,34,500,34,500,34,500,34,500,34,500,34,500
35,500,35,500,35,500,35,500,35,500,35,500,35,500,35,500
36,500,36,500,36,500,36,500,36,500,36,500,36,500,36,500
37,500,37,500,37,500,37,500,37,500,37,500,37,500,37,500
38,500,38,500,38,500,38,500,38,500,38,500,38,500,38,500
39,500,39,500,39,500,39,500,39,500,39,500,39,500,39,500
40,500,40,500,40,500,40,500,40,500,40,500,40,500,40,500
41,500,41,500,41,500,41,500,41,500,41,500,41,500,41,500
42,500,42,500,42,500,42,500,42,500,42,500,42,500,42,500
43,500,43,500,43,500,43,500,43,500,43,500,43,500,43,500
44,500,44,500,44,500,44,500,44,500,44,500,44,500,44,500
45,500,45,500,45,500,45,500,45,500,45,500,45,500,45,500
46,500,46,500,46,500,46,500,46,500,46,500,46,500,46,500
47,500,47,500,47,500,47,500,47,500,47,500,47,500,47,500
48,500,48,500,48,500,48,500,48,500,48,500,48,500,48,500
49,500,49,500,49,500,49,500,49,500,49,500,49,500,49,500
50,500,50,500,50,500,50,500,50,500,50,500,50,500,50,500
51,500,51,500,51,500,51,500,51,500,51,500,51,500,51,500
52,500,52,500,52,500,52,500,52,500,52,500,52,500,52,500
53,500,53,500,53,500,53,500,53,500,53,500,53,500,53,500
54,500,54,500,54,500,54,500,54,500,54,500,54,500,54,500
55,500,55,500,55,500,55,500,55,500,55,500,55,500,55,500
56,500,56,500,56,500,56,500,56,500,56,500,56,500,56,500
57,500,57,500,57,500,57,500,57,500,57,500,57,500,57,500
58,500,58,500,58,500,58,500,58,500,58,500,58,500,58,500
59,500,59,500,59,500,59,500,59,500,59,500,59,500,59,500
60,500,60,500,60,500,60,500,60,500,60,500,60,500,60,500
61,500,61,500,61,500,61,500,61,500,61,500,61,500,61,500
62,500,62,500,62,500,62,500,62,500,62,500,62,500,62,500
63,500,63,500,63,500,63,500,63,500,63,500,63,500,63,500
64,500,64,500,64,500,64,500,64,500,64,500,64,500,64,500
65,500,65,500,65,500,65,500,65,500,65,500,65,500,65,500
66,500,66,500,66,500,66,500,66,500,66,500,66,500,66,500
67,500,67,500,67,500,67,500,67,500,67,500,67,500,67,500
68,500,68,500,68,500,68,500,68,500,68,500,68,500,68,500
69,500,69,500,69,500,69,500,69,500,69,500,69,500,69,500
70,500,70,500,70,500,70,500,70,500,70,500,70,500,70,500
